node,model_slug,model_label,variant_key,variant_label,tp_size,successful_requests,failed_requests,benchmark_duration_s,request_throughput_rps,output_token_throughput_tps,peak_concurrent_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms,bench_path
node196,qwen3_8b,Qwen3-8B,dockerbe_sync_output,DockerBE Sync Output,2,353.0,147.0,53.73,6.57,1055.47,68.0,533.78,40.19,6360.49,13.93,10.81,96.65,12.14,10.14,33.82,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_8b/dockerbe_sync_output/6_host_dockerbe_tp2_bench.txt
node196,qwen3_8b,Qwen3-8B,dockerbe_hybrid_shm,DockerBE Hybrid SHM,2,353.0,147.0,53.52,6.6,1059.68,68.0,549.71,37.44,6469.26,13.34,10.14,98.81,11.51,9.56,33.0,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_8b/dockerbe_hybrid_shm/6_host_dockerbe_tp2_bench.txt
node196,qwen3_8b,Qwen3-8B,dockerbe_single_visible_gpu,DockerBE Single GPU/Node,2,700.0,300.0,109.29,6.4,1002.68,94.0,558.54,185.85,6749.29,51.99,48.38,134.83,48.53,38.36,168.42,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_8b/dockerbe_single_visible_gpu/9_host_dockerbe_single_visible_gpu_tp2_bench.txt
node196,qwen3_8b,Qwen3-8B,dockerbe_full_shm,DockerBE Full SHM,2,353.0,147.0,53.52,6.6,1059.71,68.0,569.13,36.72,6594.69,13.4,10.13,99.69,11.53,9.55,32.79,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_8b/dockerbe_full_shm/6_host_dockerbe_tp2_bench.txt
node196,qwen3_14b,Qwen3-14B,baseline,Baseline Docker+MP,2,700.0,300.0,109.42,6.4,1001.49,74.0,429.29,108.11,6344.39,32.96,30.26,115.12,30.67,26.53,92.9,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_14b/baseline/4_docker_mp_tp2_bench.txt
node196,qwen3_14b,Qwen3-14B,dockerbe_sync_output,DockerBE Sync Output,2,700.0,300.0,109.73,6.38,998.68,85.0,578.12,114.75,7714.3,35.09,31.56,129.15,32.32,27.6,96.89,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_14b/dockerbe_sync_output/6_host_dockerbe_tp2_bench.txt
node196,qwen3_14b,Qwen3-14B,dockerbe_hybrid_shm,DockerBE Hybrid SHM,2,700.0,300.0,109.44,6.4,1001.36,63.0,324.08,106.72,5126.89,32.01,29.96,89.48,30.3,26.23,93.33,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_14b/dockerbe_hybrid_shm/6_host_dockerbe_tp2_bench.txt
node196,qwen3_14b,Qwen3-14B,dockerbe_single_visible_gpu,DockerBE Single GPU/Node,2,700.0,300.0,116.39,6.01,941.49,138.0,642.58,308.14,6211.3,95.88,95.39,173.19,91.04,69.92,276.79,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_14b/dockerbe_single_visible_gpu/9_host_dockerbe_single_visible_gpu_tp2_bench.txt
node196,qwen3_14b,Qwen3-14B,dockerbe_full_shm,DockerBE Full SHM,2,700.0,300.0,109.47,6.39,1001.06,75.0,444.02,110.05,6349.01,33.02,30.22,116.82,30.71,26.49,92.29,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_14b/dockerbe_full_shm/6_host_dockerbe_tp2_bench.txt
node196,qwen3_4b,Qwen3-4B,baseline,Baseline Docker+MP,4,700.0,300.0,102.6,6.82,1068.05,68.0,350.38,43.33,6335.81,11.33,9.36,50.3,10.46,8.83,30.67,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_4b/baseline/5_docker_mp_tp4_bench.txt
node196,qwen3_4b,Qwen3-4B,dockerbe_sync_output,DockerBE Sync Output,4,700.0,300.0,102.93,6.8,1064.69,68.0,290.39,43.82,5590.73,11.85,10.08,46.1,11.09,9.56,33.15,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_4b/dockerbe_sync_output/7_host_dockerbe_tp4_bench.txt
node196,qwen3_4b,Qwen3-4B,dockerbe_hybrid_shm,DockerBE Hybrid SHM,4,700.0,300.0,102.67,6.82,1067.3,61.0,229.39,45.18,4750.81,10.74,9.38,37.76,10.19,8.86,32.36,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_4b/dockerbe_hybrid_shm/7_host_dockerbe_tp4_bench.txt
node196,qwen3_4b,Qwen3-4B,dockerbe_single_visible_gpu,DockerBE Single GPU/Node,4,700.0,300.0,114.95,6.09,953.33,129.0,564.61,269.17,6165.63,86.86,87.0,147.55,84.03,73.13,202.81,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_4b/dockerbe_single_visible_gpu/10_host_dockerbe_single_visible_gpu_tp4_bench.txt
node196,qwen3_4b,Qwen3-4B,dockerbe_full_shm,DockerBE Full SHM,4,700.0,300.0,102.69,6.82,1067.18,73.0,412.44,45.74,6718.86,11.82,9.53,53.56,10.89,8.97,31.71,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_4b/dockerbe_full_shm/7_host_dockerbe_tp4_bench.txt
node196,qwen3_8b,Qwen3-8B,baseline,Baseline Docker+MP,4,700.0,300.0,103.86,6.74,1055.07,71.0,362.93,60.61,6211.66,17.75,15.59,65.02,16.59,14.55,49.76,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_8b/baseline/5_docker_mp_tp4_bench.txt
node196,qwen3_8b,Qwen3-8B,dockerbe_sync_output,DockerBE Sync Output,4,700.0,300.0,104.23,6.72,1051.4,68.0,327.31,68.24,5711.73,18.8,17.03,57.74,17.81,15.83,51.69,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_8b/dockerbe_sync_output/7_host_dockerbe_tp4_bench.txt
node196,qwen3_8b,Qwen3-8B,dockerbe_hybrid_shm,DockerBE Hybrid SHM,4,700.0,300.0,103.94,6.73,1054.28,68.0,344.06,62.9,5893.76,17.53,15.4,63.53,16.45,14.43,48.56,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_8b/dockerbe_hybrid_shm/7_host_dockerbe_tp4_bench.txt
node196,qwen3_8b,Qwen3-8B,dockerbe_single_visible_gpu,DockerBE Single GPU/Node,4,700.0,300.0,125.35,5.58,874.23,206.0,941.21,477.5,7638.78,151.16,152.03,249.34,143.33,124.01,375.05,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_8b/dockerbe_single_visible_gpu/10_host_dockerbe_single_visible_gpu_tp4_bench.txt
node196,qwen3_8b,Qwen3-8B,dockerbe_full_shm,DockerBE Full SHM,4,700.0,300.0,103.95,6.73,1054.24,68.0,334.17,59.96,5914.86,17.47,15.49,59.76,16.41,14.35,49.83,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_8b/dockerbe_full_shm/7_host_dockerbe_tp4_bench.txt
node196,qwen3_14b,Qwen3-14B,baseline,Baseline Docker+MP,4,700.0,300.0,107.0,6.54,1024.11,79.0,497.06,91.05,7090.23,28.51,25.82,108.31,26.61,23.38,78.11,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_14b/baseline/5_docker_mp_tp4_bench.txt
node196,qwen3_14b,Qwen3-14B,dockerbe_sync_output,DockerBE Sync Output,4,700.0,300.0,107.43,6.52,1020.03,77.0,474.9,93.31,6832.78,29.4,26.7,107.11,27.51,24.17,80.09,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_14b/dockerbe_sync_output/7_host_dockerbe_tp4_bench.txt
node196,qwen3_14b,Qwen3-14B,dockerbe_hybrid_shm,DockerBE Hybrid SHM,4,700.0,300.0,107.11,6.54,1023.08,76.0,468.17,91.73,6985.39,28.39,25.88,105.94,26.59,23.44,79.45,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_14b/dockerbe_hybrid_shm/7_host_dockerbe_tp4_bench.txt
node196,qwen3_14b,Qwen3-14B,dockerbe_single_visible_gpu,DockerBE Single GPU/Node,4,700.0,300.0,149.28,4.69,734.1,333.0,3555.22,1072.73,13013.16,243.16,245.21,470.2,225.6,193.61,611.35,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_14b/dockerbe_single_visible_gpu/10_host_dockerbe_single_visible_gpu_tp4_bench.txt
node196,qwen3_14b,Qwen3-14B,dockerbe_full_shm,DockerBE Full SHM,4,700.0,300.0,107.08,6.54,1023.4,88.0,612.02,95.39,8193.23,29.26,25.9,129.69,27.0,23.51,81.1,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_14b/dockerbe_full_shm/7_host_dockerbe_tp4_bench.txt
